match_id,game_mode,queue_id,ranked,riot_id,riot_tag,win,champion,champion_level,kills,deaths,assists,gold_earned,total_damage_dealt,vision_score,game_creation,game_start_timestamp,game_end_timestamp,item0,item1,item2,item3,item4,item5,item6,ally_1,ally_1_champion,ally_1_position,ally_1_rank,ally_1_item0,ally_1_item1,ally_1_item2,ally_1_item3,ally_1_item4,ally_1_item5,ally_1_item6,ally_2,ally_2_champion,ally_2_position,ally_2_rank,ally_2_item0,ally_2_item1,ally_2_item2,ally_2_item3,ally_2_item4,ally_2_item5,ally_2_item6,ally_3,ally_3_champion,ally_3_position,ally_3_rank,ally_3_item0,ally_3_item1,ally_3_item2,ally_3_item3,ally_3_item4,ally_3_item5,ally_3_item6,ally_4,ally_4_champion,ally_4_position,ally_4_rank,ally_4_item0,ally_4_item1,ally_4_item2,ally_4_item3,ally_4_item4,ally_4_item5,ally_4_item6,enemy_1,enemy_1_champion,enemy_1_position,enemy_1_rank,enemy_1_item0,enemy_1_item1,enemy_1_item2,enemy_1_item3,enemy_1_item4,enemy_1_item5,enemy_1_item6,enemy_2,enemy_2_champion,enemy_2_position,enemy_2_rank,enemy_2_item0,enemy_2_item1,enemy_2_item2,enemy_2_item3,enemy_2_item4,enemy_2_item5,enemy_2_item6,enemy_3,enemy_3_champion,enemy_3_position,enemy_3_rank,enemy_3_item0,enemy_3_item1,enemy_3_item2,enemy_3_item3,enemy_3_item4,enemy_3_item5,enemy_3_item6,enemy_4,enemy_4_champion,enemy_4_position,enemy_4_rank,enemy_4_item0,enemy_4_item1,enemy_4_item2,enemy_4_item3,enemy_4_item4,enemy_4_item5,enemy_4_item6,enemy_5,enemy_5_champion,enemy_5_position,enemy_5_rank,enemy_5_item0,enemy_5_item1,enemy_5_item2,enemy_5_item3,enemy_5_item4,enemy_5_item5,enemy_5_item6,loading_screen_time,game_start_time,game_end_time,game_day_of_week,game_month,game_year
NA1_5252668740,CLASSIC,400,False,HGILLIS,NA1,False,Darius,18,14,5,7,19129,34444,38,2025-03-23 21:36:17.088,2025-03-23 21:36:54.594,2025-03-23 22:23:13.081,Dead Man's Plate,Youmuu's Ghostblade,Stridebreaker,Force of Nature,Boots of Swiftness,Sterak's Gage,Stealth Ward,Tree,Garen,TOP,BRONZE I,Phantom Dancer,Stridebreaker,Berserker's Greaves,Serpent's Fang,Mortal Reminder,Dead Man's Plate,Farsight Alteration,StonedClone,Naafiri,MIDDLE,Unranked,Eclipse,Ionian Boots of Lucidity,Black Cleaver,Spear of Shojin,Hexdrinker,Caulfield's Warhammer,Stealth Ward,Phoenix,Anivia,BOTTOM,GOLD II,Seraph's Embrace,Sorcerer's Shoes,Malignance,Liandry's Torment,Rabadon's Deathcap,Blasting Wand,Farsight Alteration,ColmNikonias,Poppy,UTILITY,SILVER II,Bloodsong,Eclipse,Synchronized Souls,Youmuu's Ghostblade,Umbral Glaive,Fimbulwinter,Oracle Lens,dnsgfs,Gangplank,TOP,Unranked,Lord Dominik's Regards,The Collector,Trinity Force,Ionian Boots of Lucidity,Infinity Edge,Immortal Shieldbow,Stealth Ward,Kirbkek,Viego,JUNGLE,Unranked,Sundered Sky,Kraken Slayer,Armored Advance,Death's Dance,Pickaxe,Tunneler,Stealth Ward,IG0DI0FIW4RI,Cho'Gath,MIDDLE,Unranked,"Jak'Sho, The Protean",Heartsteel,Dead Man's Plate,Sunfire Aegis,Thornmail,Unending Despair,Stealth Ward,Loogi200,Twitch,BOTTOM,BRONZE I,Blade of The Ruined King,Zhonya's Hourglass,Gunmetal Greaves,Nashor's Tooth,Shadowflame,Needlessly Large Rod,Farsight Alteration,RTummis,Shen,UTILITY,Unranked,Solstice Sleigh,0,Randuin's Omen,Thornmail,Heartsteel,Mercury's Treads,Oracle Lens,21:36:17.088000,21:36:54.594000,22:23:13.081000,6,3,2025
NA1_5252662026,CLASSIC,400,False,HGILLIS,NA1,False,Darius,3,1,2,2,1581,972,0,2025-03-23 21:28:01.692,2025-03-23 21:28:32.096,2025-03-23 21:32:17.937,Gustwalker Hatchling,Long Sword,Long Sword,0,0,0,Stealth Ward,Tree,Garen,TOP,BRONZE I,Doran's Shield,Tiamat,Boots,0,0,0,Stealth Ward,kyòwó,Ziggs,Invalid,Unranked,Total Biscuit of Everlasting Will,0,0,0,0,0,0,Phoenix,Nilah,BOTTOM,GOLD II,Doran's Shield,Serrated Dirk,Control Ward,0,0,0,Oracle Lens,ColmNikonias,Karma,UTILITY,SILVER II,Health Potion,World Atlas,0,0,0,0,Stealth Ward,GummiNick,Volibear,TOP,GOLD II,Boots,Doran's Ring,0,0,0,0,Stealth Ward,DragonLordDrako,Kayn,JUNGLE,GOLD II,Mosstomper Seedling,0,0,0,0,0,Stealth Ward,Gigaa,LeBlanc,MIDDLE,PLATINUM IV,Dark Seal,Refillable Potion,Amplifying Tome,Boots,0,0,Stealth Ward,mxrcus,Jhin,BOTTOM,EMERALD II,Doran's Blade,Health Potion,0,0,0,0,Stealth Ward,Once,Blitzcrank,UTILITY,Unranked,World Atlas,Health Potion,Total Biscuit of Everlasting Will,Boots,0,0,Stealth Ward,21:28:01.692000,21:28:32.096000,21:32:17.937000,6,3,2025
NA1_5252715584,CLASSIC,400,False,dnsgfs,dogex,True,Trundle,18,14,8,4,20242,48100,17,2025-03-23 23:04:52.681,2025-03-23 23:08:57.230,2025-03-23 23:45:38.355,Plated Steelcaps,Blade of The Ruined King,Ravenous Hydra,Trinity Force,Hullbreaker,Navori Flickerblade,Stealth Ward,kizzington,Braum,JUNGLE,Unranked,Solstice Sleigh,Locket of the Iron Solari,Boots of Swiftness,Thornmail,Warden's Mail,0,Oracle Lens,Bayside,Lissandra,MIDDLE,Unranked,Doran's Ring,Zhonya's Hourglass,Banshee's Veil,Boots of Swiftness,Blackfire Torch,Liandry's Torment,Stealth Ward,Loogi200,Draven,BOTTOM,BRONZE I,The Collector,Bloodthirster,Berserker's Greaves,Mortal Reminder,Infinity Edge,Long Sword,Stealth Ward,Kirbkek,Lillia,JUNGLE,Unranked,Cosmic Drive,Crimson Lucidity,Rylai's Crystal Scepter,Liandry's Torment,Amplifying Tome,0,Stealth Ward,KarnNaval,Darius,TOP,SILVER III,Trinity Force,Sterak's Gage,Boots of Swiftness,Dead Man's Plate,Negatron Cloak,Death's Dance,Stealth Ward,Spekkter,Kayn,JUNGLE,BRONZE I,Eclipse,Black Cleaver,Mercury's Treads,Spear of Shojin,Death's Dance,Spectre's Cowl,Stealth Ward,IsaacInsomnia,Veigar,MIDDLE,Unranked,Shadowflame,Seraph's Embrace,Rod of Ages,Sorcerer's Shoes,Rabadon's Deathcap,Amplifying Tome,Stealth Ward,Ronnic40,Miss Fortune,BOTTOM,BRONZE IV,Essence Reaver,Bloodthirster,Mortal Reminder,Boots of Swiftness,Infinity Edge,0,Stealth Ward,Slick The Don,Blitzcrank,UTILITY,Unranked,Locket of the Iron Solari,Synchronized Souls,Solstice Sleigh,Thornmail,Zeke's Convergence,Bandleglass Mirror,Oracle Lens,23:04:52.681000,23:08:57.230000,23:45:38.355000,6,3,2025
NA1_5252699516,CLASSIC,400,False,dnsgfs,dogex,False,Elise,15,6,3,2,9173,17012,6,2025-03-23 22:34:29.709,2025-03-23 22:35:06.481,2025-03-23 22:59:34.808,Rylai's Crystal Scepter,Sorcerer's Shoes,Dark Seal,Seraph's Embrace,Haunting Guise,Amplifying Tome,Stealth Ward,Kirbkek,Viego,JUNGLE,Unranked,Sundered Sky,Kraken Slayer,Plated Steelcaps,0,0,0,Stealth Ward,Rescene,Ahri,MIDDLE,Unranked,Refillable Potion,Sorcerer's Shoes,Dark Seal,Doran's Ring,Blasting Wand,Lost Chapter,Stealth Ward,Loogi200,Draven,BOTTOM,BRONZE I,Doran's Blade,Infinity Edge,Berserker's Greaves,Bloodthirster,Noonquiver,Long Sword,Stealth Ward,SpacedArtist,Yuumi,UTILITY,IRON I,Moonstone Renewer,Redemption,Dream Maker,Bandleglass Mirror,Amplifying Tome,0,Oracle Lens,austin,Sion,TOP,GOLD IV,Youmuu's Ghostblade,Axiom Arc,Cull,The Collector,Serrated Dirk,Swiftmarch,Stealth Ward,notbrennan,Naafiri,JUNGLE,SILVER II,Black Cleaver,Eclipse,0,Steel Sigil,Pickaxe,Ionian Boots of Lucidity,Oracle Lens,Chloe In Peaces,Varus,MIDDLE,Unranked,Nashor's Tooth,Spellslinger's Shoes,Malignance,Rabadon's Deathcap,Needlessly Large Rod,0,Stealth Ward,Fortune,Jhin,BOTTOM,Unranked,Doran's Blade,The Collector,Boots of Swiftness,Rapid Firecannon,Cloak of Agility,0,Stealth Ward,IHaveAidz,Maokai,UTILITY,SILVER IV,Zaz'Zak's Realmspike,Swiftmarch,Cloth Armor,Liandry's Torment,Cloth Armor,0,Oracle Lens,22:34:29.709000,22:35:06.481000,22:59:34.808000,6,3,2025
NA1_5252860139,CLASSIC,400,False,IG0DI0FIW4RI,NA1,True,Sejuani,17,6,5,9,12616,23059,14,2025-03-24 02:31:24.861,2025-03-24 02:33:43.767,2025-03-24 03:00:24.225,Chain Vest,Fimbulwinter,Heartsteel,Rod of Ages,Bramble Vest,Bami's Cinder,Stealth Ward,Chicheñol,Master Yi,JUNGLE,Unranked,Wit's End,Guinsoo's Rageblade,Blade of The Ruined King,Berserker's Greaves,Cloth Armor,0,Stealth Ward,кот,Varus,MIDDLE,SILVER IV,Muramana,Youmuu's Ghostblade,Swiftmarch,Needlessly Large Rod,Amplifying Tome,Cloth Armor,Farsight Alteration,Kitsune,Yasuo,BOTTOM,DIAMOND IV,Stridebreaker,Berserker's Greaves,Blade of The Ruined King,Doran's Shield,Steel Sigil,Pickaxe,Stealth Ward,RTummis,Nautilus,UTILITY,Unranked,Solstice Sleigh,Bramble Vest,Plated Steelcaps,Heartsteel,Cloth Armor,0,Oracle Lens,Conqueror Of Cüm,Poppy,TOP,SILVER IV,Fimbulwinter,Mercury's Treads,Sundered Sky,0,0,0,Stealth Ward,Kessston,Darius,JUNGLE,SILVER I,Sterak's Gage,Boots of Swiftness,Trinity Force,0,0,0,Oracle Lens,SwaggerKnight,Katarina,MIDDLE,SILVER IV,Dark Seal,Lich Bane,Sorcerer's Shoes,Hextech Alternator,0,0,Oracle Lens,command11,Nilah,BOTTOM,Unranked,Doran's Blade,Infinity Edge,Boots,The Collector,Lord Dominik's Regards,Vampiric Scepter,Stealth Ward,buttquaker69,Pyke,UTILITY,Unranked,Youmuu's Ghostblade,Bloodsong,Synchronized Souls,Umbral Glaive,Serrated Dirk,Long Sword,Oracle Lens,02:31:24.861000,02:33:43.767000,03:00:24.225000,0,3,2025
NA1_5252823294,CLASSIC,400,False,IG0DI0FIW4RI,NA1,True,Renekton,18,4,9,2,18300,34150,24,2025-03-24 01:41:31.099,2025-03-24 01:43:21.035,2025-03-24 02:26:05.742,Death's Dance,Sundered Sky,Sterak's Gage,Ruby Crystal,Mercury's Treads,Eclipse,Stealth Ward,Faffing About,Nocturne,JUNGLE,Unranked,Experimental Hexplate,Mercury's Treads,Stridebreaker,Black Cleaver,Sterak's Gage,Death's Dance,Oracle Lens,Juustin,Brand,MIDDLE,Unranked,Tear of the Goddess,Zhonya's Hourglass,Sorcerer's Shoes,Malignance,Liandry's Torment,0,Stealth Ward,Slop Enjoyer,Twisted Fate,BOTTOM,PLATINUM I,Blade of The Ruined King,Statikk Shiv,Berserker's Greaves,Rapid Firecannon,Guinsoo's Rageblade,Hearthbound Axe,Stealth Ward,RTummis,Shen,UTILITY,Unranked,Solstice Sleigh,0,Bramble Vest,Mercury's Treads,Heartsteel,"Jak'Sho, The Protean",Oracle Lens,Hinshiro,Yone,TOP,Unranked,Steel Sigil,Mortal Reminder,Blade of The Ruined King,Gunmetal Greaves,Infinity Edge,Caulfield's Warhammer,Farsight Alteration,StickyCakes,Zyra,JUNGLE,Unranked,Blackfire Torch,Liandry's Torment,Sorcerer's Shoes,Rylai's Crystal Scepter,Fiendish Codex,0,Stealth Ward,DXPebbles,Akali,MIDDLE,Unranked,Needlessly Large Rod,Stormsurge,Zhonya's Hourglass,Shadowflame,Mercury's Treads,Needlessly Large Rod,Farsight Alteration,JackChloe,Caitlyn,BOTTOM,PLATINUM IV,Mortal Reminder,Berserker's Greaves,Yun Tal Wildarrows,Infinity Edge,Rapid Firecannon,Bloodthirster,Stealth Ward,PoroKing,Mel,UTILITY,GOLD IV,Zaz'Zak's Realmspike,Zhonya's Hourglass,Blighting Jewel,Liandry's Torment,Shadowflame,Sorcerer's Shoes,Oracle Lens,01:41:31.099000,01:43:21.035000,02:26:05.742000,0,3,2025
NA1_5252801558,CLASSIC,400,False,IG0DI0FIW4RI,NA1,False,Renekton,13,3,6,3,7438,14093,10,2025-03-24 01:13:35.110,2025-03-24 01:14:14.356,2025-03-24 01:35:00.297,Doran's Blade,Cull,Eclipse,Plated Steelcaps,Tunneler,Long Sword,Stealth Ward,Celebnar,Amumu,JUNGLE,Unranked,Plated Steelcaps,Sunfire Aegis,Fated Ashes,0,Ruby Crystal,Amplifying Tome,Oracle Lens,Link and Tatl,Swain,MIDDLE,BRONZE I,Boots of Swiftness,Blackfire Torch,Doran's Ring,Haunting Guise,0,0,Stealth Ward,Beastkat,Jhin,BOTTOM,Unranked,Doran's Blade,The Collector,Boots of Swiftness,Infinity Edge,0,0,Stealth Ward,RTummis,Thresh,UTILITY,Unranked,Solstice Sleigh,Bramble Vest,Heartsteel,0,0,0,Oracle Lens,worldofwarcraft,Sett,TOP,IRON II,Doran's Blade,Plated Steelcaps,Stridebreaker,Phage,Pickaxe,0,Stealth Ward,Country,Nocturne,JUNGLE,EMERALD IV,Experimental Hexplate,Stridebreaker,Plated Steelcaps,Ruby Crystal,0,0,Oracle Lens,Criptak,Jarvan IV,MIDDLE,SILVER IV,Doran's Blade,Refillable Potion,Eclipse,Tiamat,Mercury's Treads,Long Sword,Stealth Ward,buttquaker69,Vayne,BOTTOM,Unranked,Blade of The Ruined King,Cull,Berserker's Greaves,Recurve Bow,Amplifying Tome,Pickaxe,Stealth Ward,command11,Xerath,UTILITY,Unranked,Zaz'Zak's Realmspike,Luden's Companion,Sorcerer's Shoes,Fiendish Codex,Fiendish Codex,Amplifying Tome,Oracle Lens,01:13:35.110000,01:14:14.356000,01:35:00.297000,0,3,2025
NA1_5252756401,CLASSIC,400,False,Loogi200,jahed,False,Pantheon,18,13,12,13,19814,38671,142,2025-03-24 00:07:18.272,2025-03-24 00:07:45.527,2025-03-24 01:01:45.727,Eclipse,Sundered Sky,Kaenic Rookern,Blade of The Ruined King,Synchronized Souls,Black Cleaver,Oracle Lens,CN Kenzhu,Ambessa,TOP,PLATINUM II,Black Cleaver,Death's Dance,Eclipse,Plated Steelcaps,Spear of Shojin,Voltaic Cyclosword,Stealth Ward,PoolWater69420,Lillia,JUNGLE,Unranked,Blackfire Torch,Zhonya's Hourglass,Liandry's Torment,Rylai's Crystal Scepter,Sorcerer's Shoes,Riftmaker,Stealth Ward,epter12138,Ryze,MIDDLE,Unranked,Seraph's Embrace,Rod of Ages,Sorcerer's Shoes,Frozen Heart,Cosmic Drive,Luden's Companion,Stealth Ward,Deoji,Veigar,BOTTOM,Unranked,Zhonya's Hourglass,Luden's Companion,Rabadon's Deathcap,Shadowflame,Stormsurge,Sorcerer's Shoes,Stealth Ward,Lunestra,Urgot,TOP,IRON II,Armored Advance,Chempunk Chainsword,Ravenous Hydra,Hullbreaker,Maw of Malmortius,Black Cleaver,Stealth Ward,ha0b0,Naafiri,JUNGLE,SILVER I,Chainlaced Crushers,Eclipse,Profane Hydra,Edge of Night,Hubris,Black Cleaver,Oracle Lens,raidtank,Tristana,MIDDLE,PLATINUM IV,Guardian Angel,Yun Tal Wildarrows,Gunmetal Greaves,Infinity Edge,Lord Dominik's Regards,Navori Flickerblade,Farsight Alteration,EDM Luna,Anivia,BOTTOM,PLATINUM IV,Seraph's Embrace,Spellslinger's Shoes,Rod of Ages,Liandry's Torment,Rabadon's Deathcap,Void Staff,Farsight Alteration,Valeriya1,Seraphine,UTILITY,SILVER I,Malignance,Blackfire Torch,Rylai's Crystal Scepter,Ionian Boots of Lucidity,Liandry's Torment,Luden's Companion,Stealth Ward,00:07:18.272000,00:07:45.527000,01:01:45.727000,0,3,2025
NA1_5252530664,CLASSIC,400,False,Tree,DZ00,True,Garen,14,5,0,2,9203,11042,6,2025-03-23 17:12:11.937,2025-03-23 17:12:35.243,2025-03-23 17:32:58.528,Dagger,Stridebreaker,Boots of Swiftness,Doran's Shield,Zeal,Dagger,Farsight Alteration,JayNarukamiVT,Naafiri,JUNGLE,GOLD II,Profane Hydra,Ionian Boots of Lucidity,Serylda's Grudge,Long Sword,Glowing Mote,0,Stealth Ward,house keeping,Viktor,MIDDLE,Unranked,Seeker's Armguard,Doran's Ring,Blackfire Torch,Sorcerer's Shoes,Liandry's Torment,0,Stealth Ward,ZSonOfSparta,Miss Fortune,BOTTOM,SILVER I,Doran's Blade,Bloodthirster,Swiftmarch,Essence Reaver,Control Ward,0,Stealth Ward,FLASHY,Lux,UTILITY,GOLD IV,Zaz'Zak's Realmspike,Luden's Companion,Crimson Lucidity,Dark Seal,Amplifying Tome,Amplifying Tome,Oracle Lens,LumpyFrogs,Sett,TOP,GOLD IV,Doran's Blade,Plated Steelcaps,Stridebreaker,Winged Moonplate,0,0,Stealth Ward,Too Ugly To Love,Gwen,JUNGLE,Unranked,Hextech Alternator,Nashor's Tooth,Sorcerer's Shoes,0,0,0,Oracle Lens,Supernoodl3s,Aurora,MIDDLE,SILVER II,Doran's Ring,Liandry's Torment,Boots,Lost Chapter,0,0,Stealth Ward,superdrew,Smolder,BOTTOM,Unranked,Essence Reaver,Doran's Blade,Boots of Swiftness,Tunneler,Pickaxe,0,Stealth Ward,BLUENIGHTMARE82,Pyke,UTILITY,GOLD IV,Celestial Opposition,Refillable Potion,Umbral Glaive,Boots of Swiftness,Long Sword,Long Sword,Oracle Lens,17:12:11.937000,17:12:35.243000,17:32:58.528000,6,3,2025
NA1_5252265616,CLASSIC,400,False,Tree,DZ00,True,Garen,18,14,4,6,17050,39286,17,2025-03-23 03:49:10.362,2025-03-23 03:49:29.768,2025-03-23 04:19:26.787,Doran's Shield,Stridebreaker,Gunmetal Greaves,Phantom Dancer,Mortal Reminder,Dead Man's Plate,Stealth Ward,bluejay137,Graves,JUNGLE,PLATINUM IV,Hubris,Youmuu's Ghostblade,Last Whisper,Plated Steelcaps,0,0,Stealth Ward,zDdam,Gangplank,MIDDLE,GOLD II,The Collector,Trinity Force,Infinity Edge,Last Whisper,Doran's Blade,Boots,Stealth Ward,JoPapi,Jinx,BOTTOM,Unranked,Yun Tal Wildarrows,Doran's Blade,Berserker's Greaves,Infinity Edge,Mortal Reminder,0,Stealth Ward,역천괴,Nami,UTILITY,GOLD I,Zaz'Zak's Realmspike,Moonstone Renewer,Crimson Lucidity,Imperial Mandate,Amplifying Tome,Glowing Mote,Oracle Lens,APimpSlickBack,Lee Sin,JUNGLE,GOLD III,Eclipse,Mercury's Treads,Sundered Sky,Black Cleaver,Sterak's Gage,0,Oracle Lens,PoisonForKuzco,Dr. Mundo,TOP,SILVER I,Titanic Hydra,Heartsteel,Plated Steelcaps,Warmog's Armor,0,0,Stealth Ward,beanfoot,Ryze,MIDDLE,PLATINUM II,Seraph's Embrace,Rod of Ages,Amplifying Tome,Sorcerer's Shoes,Glacial Buckler,Warden's Mail,Stealth Ward,TheSuperBender,Caitlyn,BOTTOM,Unranked,Doran's Blade,Berserker's Greaves,The Collector,Yun Tal Wildarrows,Last Whisper,Long Sword,Stealth Ward,Stamitis,Thresh,UTILITY,Unranked,Knight's Vow,Synchronized Souls,Locket of the Iron Solari,Celestial Opposition,0,0,Oracle Lens,03:49:10.362000,03:49:29.768000,04:19:26.787000,6,3,2025
NA1_5248536830,CLASSIC,400,False,Tree,DZ00,True,Miss Fortune,15,11,4,12,12902,31150,13,2025-03-16 18:16:13.991,2025-03-16 18:16:49.143,2025-03-16 18:44:34.621,Doran's Blade,Bloodthirster,Boots of Swiftness,Infinity Edge,Essence Reaver,0,Stealth Ward,sugoi bunoi,Gwen,TOP,SILVER IV,Riftmaker,Dark Seal,Nashor's Tooth,Spellslinger's Shoes,Blighting Jewel,Needlessly Large Rod,Stealth Ward,Praise Provider,Amumu,JUNGLE,Unranked,Abyssal Mask,Mercury's Treads,Liandry's Torment,Spectre's Cowl,0,0,Oracle Lens,ExSaints,Ziggs,MIDDLE,Unranked,Rabadon's Deathcap,Blackfire Torch,Sorcerer's Shoes,Dark Seal,Shadowflame,0,Stealth Ward,Heymile,Teemo,UTILITY,BRONZE II,Zaz'Zak's Realmspike,Sorcerer's Shoes,Liandry's Torment,Nashor's Tooth,Malignance,0,Oracle Lens,ThisEffingGuy,Aatrox,TOP,Unranked,Doran's Shield,Mercury's Treads,Spear of Shojin,Sundered Sky,0,0,Stealth Ward,DuramaxL5P,Elise,JUNGLE,Unranked,Sorcerer's Shoes,Shadowflame,Stormsurge,Shattered Armguard,0,0,Stealth Ward,LilBobby45,Aurora,MIDDLE,SILVER I,Seeker's Armguard,Liandry's Torment,Sorcerer's Shoes,Malignance,0,0,Stealth Ward,SoggyPotty69,Zeri,BOTTOM,GOLD III,Runaan's Hurricane,Health Potion,Boots of Swiftness,Statikk Shiv,Lord Dominik's Regards,Cloak of Agility,Stealth Ward,Hawktuuhh,Alistar,UTILITY,BRONZE II,Solstice Sleigh,Locket of the Iron Solari,Boots of Swiftness,Thornmail,Null-Magic Mantle,Cloth Armor,Oracle Lens,18:16:13.991000,18:16:49.143000,18:44:34.621000,6,3,2025
NA1_5253025454,CLASSIC,400,False,StonedClone,Chaos,False,Jarvan IV,10,3,6,0,6821,4920,7,2025-03-24 07:20:49.917,2025-03-24 07:21:21.980,2025-03-24 07:40:18.456,Mosstomper Seedling,Eclipse,Mercury's Treads,Pickaxe,0,0,Oracle Lens,Papa Poli,Akali,TOP,Unranked,Doran's Ring,Liandry's Torment,Boots,0,0,0,Stealth Ward,WonderBloodStar,Aatrox,MIDDLE,Unranked,Eclipse,Caulfield's Warhammer,0,Boots,0,0,Stealth Ward,LadyNightstalker,Caitlyn,BOTTOM,BRONZE II,Doran's Blade,The Collector,Berserker's Greaves,Scout's Slingshot,Dagger,Cloak of Agility,Stealth Ward,King Cleetus,Tahm Kench,UTILITY,Unranked,Cloth Armor,0,Bloodsong,0,Heartsteel,Plated Steelcaps,Stealth Ward,divine wingz,Mordekaiser,TOP,Unranked,Doran's Shield,Rylai's Crystal Scepter,Mercury's Treads,Cloth Armor,Riftmaker,Amplifying Tome,Stealth Ward,TigerMoose007,Taric,JUNGLE,Unranked,Echoes of Helia,Ruby Crystal,Chain Vest,0,Sheen,Plated Steelcaps,Oracle Lens,jewpach,Pantheon,MIDDLE,GOLD II,Sundered Sky,Refillable Potion,Eclipse,Plated Steelcaps,Phage,Pickaxe,Stealth Ward,Hodlen,Jinx,BOTTOM,EMERALD IV,Doran's Blade,Berserker's Greaves,Yun Tal Wildarrows,Zeal,Dagger,Dagger,Farsight Alteration,SKUniverse,Shen,UTILITY,BRONZE III,Heartsteel,Bloodsong,Plated Steelcaps,Cloth Armor,0,0,Oracle Lens,07:20:49.917000,07:21:21.980000,07:40:18.456000,0,3,2025
